McD_Pc,McD_Count,IRSAD_Pc_Decile,IRSAD_Pc_Prcntl,Pop_Pc,Peo_per_McD,1000_per_McD,McD_LGA
3125,1,8,80,15019,15019,15.0,Whitehorse
3013,1,9,90,14965,14965,15.0,Melbourne
4610,1,2,20,14840,14840,14.8,Western Downs
3850,1,4,36,14779,14779,14.8,Wellington
2282,1,8,76,14777,14777,14.8,Lake Macquarie
7315,1,2,15,14658,14658,14.7,Waratah/Wynyard
5251,1,6,55,14623,14623,14.6,Mount Barker
3400,1,3,26,14543,14543,14.5,Horsham
2127,1,10,97,14532,14532,14.5,Strathfield
4006,1,9,87,14530,14530,14.5,Brisbane
2360,1,2,12,14529,14529,14.5,Uralla
6100,1,9,84,14480,14480,14.5,Victoria Park
2111,1,10,95,14412,14412,14.4,Ryde
4720,1,6,59,14394,14394,14.4,Central Highlands
2485,1,2,16,14373,14373,14.4,Tweed
6063,1,4,37,14359,14359,14.4,Swan
4103,1,9,83,14316,14316,14.3,Brisbane
5070,1,7,66,14270,14270,14.3,Walkerville
2224,1,9,87,14213,14213,14.2,Sutherland Shire
5606,1,2,20,14128,14128,14.1,Port Lincoln
3060,1,2,20,14043,14043,14.0,Moreland
4169,1,9,90,13995,13995,14.0,Brisbane
2564,1,1,8,13924,13924,13.9,Liverpool
3085,1,9,86,13886,13886,13.9,Darebin
5024,1,8,73,13846,13846,13.8,West Torrens
7000,1,8,79,13837,13837,13.8,Hobart
2517,1,7,69,13731,13731,13.7,Wollongong
2090,1,10,100,13724,13724,13.7,North Sydney
5008,1,3,28,13681,13681,13.7,Prospect
2333,1,2,14,13647,13647,13.6,Upper Hunter Shire
4054,1,8,72,13620,13620,13.6,Moreton Bay
